

"","PD04640PD"
"","Tipo de cambio - TC Sistema bancario SBS (S/ por US$) - Venta"
02Ene97,2.614
03Ene97,2.62
06Ene97,2.628
07Ene97,2.635
08Ene97,2.636
09Ene97,2.631
10Ene97,2.626
13Ene97,2.626
14Ene97,2.627
15Ene97,2.625
16Ene97,2.622
17Ene97,2.621
20Ene97,2.627
21Ene97,2.623
22Ene97,2.626
23Ene97,2.631
24Ene97,2.632
27Ene97,2.639
28Ene97,2.64
29Ene97,2.639
30Ene97,2.643
31Ene97,2.646
03Feb97,2.655
04Feb97,2.651
05Feb97,2.651
06Feb97,2.644
07Feb97,2.641
10Feb97,2.645
11Feb97,2.643
12Feb97,2.642
13Feb97,2.641
14Feb97,2.636
17Feb97,2.634
18Feb97,2.632
19Feb97,2.631
20Feb97,2.63
21Feb97,2.634
24Feb97,2.641
25Feb97,2.646
26Feb97,2.649
27Feb97,2.652
28Feb97,2.651
03Mar97,2.648
04Mar97,2.639
05Mar97,2.635
06Mar97,2.629
07Mar97,2.628
10Mar97,2.628
11Mar97,2.628
12Mar97,2.628
13Mar97,2.634
14Mar97,2.635
17Mar97,2.634
18Mar97,2.633
19Mar97,2.636
20Mar97,2.644
21Mar97,2.644
24Mar97,2.642
25Mar97,2.647
26Mar97,2.644
27Mar97,n.d.
28Mar97,n.d.
31Mar97,2.65
01Abr97,2.66
02Abr97,2.657
03Abr97,2.659
04Abr97,2.666
07Abr97,2.671
08Abr97,2.67
09Abr97,2.669
10Abr97,2.667
11Abr97,2.662
14Abr97,2.666
15Abr97,2.662
16Abr97,2.663
17Abr97,2.664
18Abr97,2.665
21Abr97,2.669
22Abr97,2.667
23Abr97,2.665
24Abr97,2.665
25Abr97,2.664
28Abr97,2.668
29Abr97,2.668
30Abr97,2.668
01May97,n.d.
02May97,2.667
05May97,2.671
06May97,2.669
07May97,2.665
08May97,2.666
09May97,2.669
12May97,2.675
13May97,2.671
14May97,2.669
15May97,2.664
16May97,2.665
19May97,2.664
20May97,2.661
21May97,2.666
22May97,2.668
23May97,2.667
26May97,2.667
27May97,2.666
28May97,2.667
29May97,2.667
30May97,2.669
02Jun97,2.672
03Jun97,2.663
04Jun97,2.662
05Jun97,2.665
06Jun97,2.663
09Jun97,2.662
10Jun97,2.66
11Jun97,2.661
12Jun97,2.661
13Jun97,2.662
16Jun97,2.661
17Jun97,2.658
18Jun97,2.656
19Jun97,2.652
20Jun97,2.652
23Jun97,2.657
24Jun97,2.657
25Jun97,2.654
26Jun97,2.65
27Jun97,2.651
30Jun97,2.656
01Jul97,2.655
02Jul97,2.653
03Jul97,2.65
04Jul97,2.652
07Jul97,2.653
08Jul97,2.654
09Jul97,2.657
10Jul97,2.656
11Jul97,2.652
14Jul97,2.652
15Jul97,2.651
16Jul97,2.653
17Jul97,2.659
18Jul97,2.659
21Jul97,2.653
22Jul97,2.653
23Jul97,2.652
24Jul97,2.655
25Jul97,2.655
28Jul97,n.d.
29Jul97,n.d.
30Jul97,2.663
31Jul97,2.658
01Ago97,2.656
04Ago97,2.655
05Ago97,2.656
06Ago97,2.659
07Ago97,2.666
08Ago97,2.661
11Ago97,2.659
12Ago97,2.657
13Ago97,2.655
14Ago97,2.652
15Ago97,2.649
18Ago97,2.651
19Ago97,2.654
20Ago97,2.655
21Ago97,2.655
22Ago97,2.654
25Ago97,2.659
26Ago97,2.66
27Ago97,2.657
28Ago97,2.658
29Ago97,2.658
01Set97,2.659
02Set97,2.658
03Set97,2.657
04Set97,2.655
05Set97,2.65
08Set97,2.65
09Set97,2.649
10Set97,2.647
11Set97,2.646
12Set97,2.636
15Set97,2.64
16Set97,2.641
17Set97,2.644
18Set97,2.641
19Set97,2.639
22Set97,2.641
23Set97,2.642
24Set97,2.644
25Set97,2.646
26Set97,2.647
29Set97,2.651
30Set97,2.654
01Oct97,2.646
02Oct97,2.64
03Oct97,2.64
06Oct97,2.643
07Oct97,2.647
08Oct97,n.d.
09Oct97,2.65
10Oct97,2.654
13Oct97,2.656
14Oct97,2.651
15Oct97,2.649
16Oct97,2.65
17Oct97,2.65
20Oct97,2.654
21Oct97,2.658
22Oct97,2.667
23Oct97,2.669
24Oct97,2.677
27Oct97,2.697
28Oct97,2.725
29Oct97,2.695
30Oct97,2.714
31Oct97,2.714
03Nov97,2.709
04Nov97,2.708
05Nov97,2.715
06Nov97,2.717
07Nov97,2.726
10Nov97,2.729
11Nov97,2.733
12Nov97,2.738
13Nov97,2.736
14Nov97,2.733
17Nov97,2.726
18Nov97,2.724
19Nov97,2.717
20Nov97,2.714
21Nov97,2.715
24Nov97,2.72
25Nov97,2.73
26Nov97,2.726
27Nov97,2.725
28Nov97,2.723
01Dic97,2.726
02Dic97,2.722
03Dic97,2.719
04Dic97,2.718
05Dic97,2.716
08Dic97,n.d.
09Dic97,2.718
10Dic97,2.715
11Dic97,2.718
12Dic97,2.715
15Dic97,2.715
16Dic97,2.716
17Dic97,2.712
18Dic97,2.713
19Dic97,2.717
22Dic97,2.718
23Dic97,2.72
24Dic97,2.725
25Dic97,n.d.
26Dic97,2.723
29Dic97,2.73
30Dic97,2.734
31Dic97,2.73
01Ene98,n.d.
02Ene98,2.726
05Ene98,2.728
06Ene98,2.731
07Ene98,2.734
08Ene98,2.741
09Ene98,2.738
12Ene98,2.75
13Ene98,2.742
14Ene98,2.744
15Ene98,2.743
16Ene98,2.741
19Ene98,2.737
20Ene98,2.741
21Ene98,2.748
22Ene98,2.753
23Ene98,2.752
26Ene98,2.763
27Ene98,2.765
28Ene98,2.763
29Ene98,2.768
30Ene98,2.773
02Feb98,2.787
03Feb98,2.786
04Feb98,2.786
05Feb98,2.798
06Feb98,2.806
09Feb98,2.806
10Feb98,2.81
11Feb98,2.799
12Feb98,2.784
13Feb98,2.787
16Feb98,2.794
17Feb98,2.79
18Feb98,2.796
19Feb98,2.805
20Feb98,2.807
23Feb98,2.817
24Feb98,2.823
25Feb98,2.816
26Feb98,2.817
27Feb98,2.815
02Mar98,2.819
03Mar98,2.818
04Mar98,2.817
05Mar98,2.812
06Mar98,2.809
09Mar98,2.802
10Mar98,2.794
11Mar98,2.797
12Mar98,2.803
13Mar98,2.806
16Mar98,2.804
17Mar98,2.799
18Mar98,2.797
19Mar98,2.795
20Mar98,2.803
23Mar98,2.812
24Mar98,2.818
25Mar98,2.821
26Mar98,2.817
27Mar98,2.817
30Mar98,2.819
31Mar98,2.81
01Abr98,2.808
02Abr98,2.814
03Abr98,2.816
06Abr98,2.817
07Abr98,2.815
08Abr98,2.815
09Abr98,n.d.
10Abr98,n.d.
13Abr98,2.818
14Abr98,2.822
15Abr98,2.821
16Abr98,2.826
17Abr98,2.823
20Abr98,2.82
21Abr98,2.824
22Abr98,2.828
23Abr98,2.832
24Abr98,2.83
27Abr98,2.831
28Abr98,2.823
29Abr98,2.829
30Abr98,2.828
01May98,n.d.
04May98,2.836
05May98,2.837
06May98,2.84
07May98,2.842
08May98,2.842
11May98,2.844
12May98,2.844
13May98,2.843
14May98,2.842
15May98,2.843
18May98,2.845
19May98,2.846
20May98,2.844
21May98,2.844
22May98,2.844
25May98,2.846
26May98,2.849
27May98,2.856
28May98,2.862
29May98,2.863
01Jun98,2.872
02Jun98,2.87
03Jun98,2.869
04Jun98,2.879
05Jun98,2.891
08Jun98,2.897
09Jun98,2.892
10Jun98,2.896
11Jun98,2.898
12Jun98,2.908
15Jun98,2.924
16Jun98,2.924
17Jun98,2.915
18Jun98,2.911
19Jun98,2.917
22Jun98,2.934
23Jun98,2.935
24Jun98,2.954
25Jun98,2.938
26Jun98,2.93
29Jun98,n.d.
30Jun98,2.931
01Jul98,2.933
02Jul98,2.935
03Jul98,2.926
06Jul98,2.932
07Jul98,2.931
08Jul98,2.929
09Jul98,2.927
10Jul98,2.924
13Jul98,2.922
14Jul98,2.917
15Jul98,2.911
16Jul98,2.915
17Jul98,2.908
20Jul98,2.909
21Jul98,2.912
22Jul98,2.91
23Jul98,2.922
24Jul98,2.92
27Jul98,2.925
28Jul98,n.d.
29Jul98,n.d.
30Jul98,2.93
31Jul98,2.932
03Ago98,2.936
04Ago98,2.939
05Ago98,2.943
06Ago98,2.952
07Ago98,2.954
10Ago98,2.954
11Ago98,2.958
12Ago98,2.962
13Ago98,2.958
14Ago98,2.951
17Ago98,2.952
18Ago98,2.951
19Ago98,2.947
20Ago98,2.953
21Ago98,2.969
24Ago98,2.971
25Ago98,2.966
26Ago98,2.979
27Ago98,3.006
28Ago98,3.018
31Ago98,3.023
01Set98,3.051
02Set98,3.039
03Set98,3.057
04Set98,3.054
07Set98,3.052
08Set98,3.057
09Set98,3.055
10Set98,3.069
11Set98,3.067
14Set98,3.054
15Set98,3.033
16Set98,3.03
17Set98,3.046
18Set98,3.021
21Set98,3.033
22Set98,3.027
23Set98,3.03
24Set98,3.037
25Set98,3.041
28Set98,3.048
29Set98,3.05
30Set98,3.04
01Oct98,3.062
02Oct98,3.045
05Oct98,3.043
06Oct98,3.039
07Oct98,3.043
08Oct98,n.d.
09Oct98,3.055
12Oct98,3.061
13Oct98,3.057
14Oct98,3.054
15Oct98,3.044
16Oct98,3.048
19Oct98,3.044
20Oct98,3.041
21Oct98,3.047
22Oct98,3.049
23Oct98,3.051
26Oct98,n.d.
27Oct98,3.059
28Oct98,3.065
29Oct98,3.077
30Oct98,3.072
02Nov98,3.08
03Nov98,3.09
04Nov98,3.081
05Nov98,3.084
06Nov98,3.082
09Nov98,3.088
10Nov98,3.095
11Nov98,3.093
12Nov98,3.095
13Nov98,3.096
16Nov98,3.096
17Nov98,3.092
18Nov98,3.09
19Nov98,3.094
20Nov98,3.094
23Nov98,3.095
24Nov98,3.107
25Nov98,3.114
26Nov98,3.118
27Nov98,3.123
30Nov98,3.114
01Dic98,3.126
02Dic98,3.13
03Dic98,3.149
04Dic98,3.147
07Dic98,3.138
08Dic98,n.d.
09Dic98,3.134
10Dic98,3.145
11Dic98,3.146
14Dic98,3.14
15Dic98,3.134
16Dic98,3.133
17Dic98,3.134
18Dic98,3.13
21Dic98,3.13
22Dic98,3.137
23Dic98,3.131
24Dic98,3.131
25Dic98,n.d.
28Dic98,3.14
29Dic98,3.149
30Dic98,3.157
31Dic98,3.159
01Ene99,n.d.
04Ene99,3.162
05Ene99,3.171
06Ene99,3.182
07Ene99,3.187
08Ene99,3.195
11Ene99,3.197
12Ene99,3.202
13Ene99,3.251
14Ene99,3.289
15Ene99,3.291
18Ene99,3.244
19Ene99,3.252
20Ene99,3.253
21Ene99,3.269
22Ene99,3.28
25Ene99,3.298
26Ene99,3.326
27Ene99,3.332
28Ene99,3.341
29Ene99,3.358
01Feb99,3.372
02Feb99,3.376
03Feb99,3.397
04Feb99,3.394
05Feb99,3.39
08Feb99,3.39
09Feb99,3.393
10Feb99,3.383
11Feb99,3.391
12Feb99,3.399
15Feb99,3.391
16Feb99,3.381
17Feb99,3.385
18Feb99,3.389
19Feb99,3.395
22Feb99,3.409
23Feb99,3.424
24Feb99,3.424
25Feb99,3.444
26Feb99,3.443
01Mar99,3.417
02Mar99,3.396
03Mar99,3.396
04Mar99,3.405
05Mar99,3.412
08Mar99,3.415
09Mar99,3.406
10Mar99,3.404
11Mar99,3.398
12Mar99,3.376
15Mar99,3.355
16Mar99,3.354
17Mar99,3.376
18Mar99,3.357
19Mar99,3.352
22Mar99,3.365
23Mar99,3.389
24Mar99,3.396
25Mar99,3.385
26Mar99,3.378
29Mar99,3.363
30Mar99,3.348
31Mar99,3.338
01Abr99,n.d.
02Abr99,n.d.
05Abr99,3.349
06Abr99,3.356
07Abr99,3.37
08Abr99,3.368
09Abr99,3.364
12Abr99,3.364
13Abr99,3.361
14Abr99,3.347
15Abr99,3.349
16Abr99,3.351
19Abr99,3.346
20Abr99,3.343
21Abr99,3.348
22Abr99,3.349
23Abr99,3.348
26Abr99,3.352
27Abr99,3.346
28Abr99,3.336
29Abr99,3.346
30Abr99,3.34
03May99,3.335
04May99,3.329
05May99,3.333
06May99,3.339
07May99,3.342
10May99,3.337
11May99,3.327
12May99,3.329
13May99,3.324
14May99,3.327
17May99,3.331
18May99,3.324
19May99,3.328
20May99,3.326
21May99,3.333
24May99,3.339
25May99,3.356
26May99,3.344
27May99,3.334
28May99,3.332
31May99,3.336
01Jun99,3.336
02Jun99,3.339
03Jun99,3.337
04Jun99,3.339
07Jun99,3.339
08Jun99,3.344
09Jun99,3.347
10Jun99,3.35
11Jun99,3.347
14Jun99,3.342
15Jun99,3.339
16Jun99,3.337
17Jun99,3.334
18Jun99,3.336
21Jun99,3.34
22Jun99,3.338
23Jun99,3.34
24Jun99,3.343
25Jun99,3.341
